Date;Time;Prize;Wallet
2023-08-21;20:00;Free Deku Mint  ;
2023-08-22;02:00;Genesis Moon Ape;
2023-08-22;14:00;Free Deku Mint  ;
2023-08-22;20:00;Deku Mint WL Discount ;
2023-08-23;02:00;Free Deku Mint  ;
2023-08-23;14:00;Genesis Moon Ape;
2023-08-23;20:00;Free Deku Mint  ;
2023-08-24;02:00;Moon Capsule;
2023-08-24;14:00;Free Deku Mint  ;
2023-08-24;20:00;Deku Mint WL Discount ;
2023-08-25;02:00;Genesis Moon Ape;
2023-08-25;14:00;Free Deku Mint  ;
2023-08-25;20:00;Genesis Moon Ape;
2023-08-26;02:00;Deku Mint WL Discount ;
2023-08-26;14:00;Avatar Upgrades;
2023-08-26;20:00;Free Deku Mint  ;
2023-08-27;02:00;Deku Mint WL Discount ;
2023-08-27;14:00;Free Deku Mint  ;
2023-08-27;20:00;Mutant 1/1;
2023-08-28;02:00;Free Deku Mint  ;
2023-08-28;14:00;Avatar Upgrades;
2023-08-28;20:00;Genesis Moon Ape;
2023-08-29;02:00;Free Deku Mint  ;
2023-08-29;14:00;10 $MAD;
2023-08-29;20:00;Free Deku Mint  ;
2023-08-30;02:00;Genesis Moon Ape;
2023-08-30;14:00;Moon Capsule;
2023-08-30;20:00;Free Deku Mint  ;
2023-08-31;02:00;Malbox;
2023-08-31;14:00;Free Deku Mint  ;
2023-08-31;20:00;Free Deku Mint  ;
2023-09-01;02:00;Malbox;
2023-09-01;14:00;Free Deku Mint  ;
2023-09-01;20:00;Deku Mint WL Discount ;
2023-09-02;02:00;Free Deku Mint  ;
2023-09-02;14:00;Moon Capsule;
2023-09-02;20:00;Free Deku Mint  ;
2023-09-03;02:00;Free Deku Mint  ;
2023-09-03;14:00;Genesis Moon Ape;
2023-09-03;20:00;Moon Capsule;
2023-09-04;02:00;Free Deku Mint  ;
2023-09-04;14:00;Deku Mint WL Discount ;
2023-09-04;20:00;Free Deku Mint  ;
2023-09-05;02:00;10 $MAD;
2023-09-05;14:00;Avatar Upgrades;
2023-09-05;20:00;Free Deku Mint  ;
2023-09-06;02:00;Deku Mint WL Discount ;
2023-09-06;14:00;10 $MAD;
2023-09-06;20:00;Free Deku Mint  ;
